misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,613,-44.3418296,1.4195833563804627,-0.007021140679717064,1.3238917529582976
40,14760,610,-36.784880594594604,1.4195123553276061,-0.005862954258918762,4.21168862581253
60,21960,610,-29.060464516129034,1.4184731245040894,-0.0007025577127933502,1.169579178094864
80,29160,612,-27.090626571428576,1.418479859828949,-0.0016205132007598877,0.6066650569438934
100,36360,611,-24.414825279999995,1.4180459022521972,-0.0034963592886924745,1.03013773560524
120,43560,611,-22.15428869,1.4174320697784424,-0.0022710688412189485,0.737036120891571
140,50760,611,-21.801128629999997,1.4173739790916442,-0.00047662723809480665,5.804500961303711
160,57960,610,-23.0035949,1.4178846716880797,-0.005018006265163422,10.280016374588012
180,65160,606,-21.248134709999995,1.417258656024933,-0.004572875052690506,1.8806899644434452
200,72360,601,-18.106261430000004,1.4168787360191346,0.0034782074391841887,7.777256774902344
220,79560,600,-19.474012099999996,1.415738546848297,0.0026523135602474213,3.742760515213013
240,86760,600,-19.45541635,1.4162670612335204,-0.00561705268919468,2.34903212338686
260,93960,591,-20.34806546,1.4166599631309509,3.535579890012741e-05,8.69769748300314
280,101160,584,-19.08441328,1.415664756298065,-0.0009521082043647766,3.1504444599151613
300,108360,583,-16.26872491,1.4164416432380675,-0.004116928577423096,0.3103891186416149
320,115560,583,-15.19141498,1.4168988347053528,-0.005302074551582337,0.640382143855095
340,122760,584,-13.733723530000002,1.4169596552848815,-0.0010615918785333634,0.2241341382265091
360,129960,584,-14.435825899999998,1.4163201212882996,-0.006619711220264435,0.2542340122163296
380,137160,585,-14.076223310000003,1.4154025077819825,-0.003354601562023163,3.6685365669429304
400,144360,585,-12.514481660000001,1.4143685102462769,-0.011079049110412598,6.978501260280609
420,151560,585,-13.20990344,1.4144741535186767,-0.0028513599187135696,4.43488052636385
440,158760,585,-14.361915900000001,1.414721965789795,-0.0006521578878164291,6.1121902704238895
460,165960,586,-18.19423812,1.4161139488220216,-0.00018232911825180053,5.871975284814835
480,173160,586,-17.56968642,1.4158610463142396,-0.003663443401455879,4.973181033134461
